Repo_Name,score,score_description
pipenv,75.06581493728886,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
awesome-go,74.69732498812456,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
freqtrade,74.40332665468475,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
selenium,72.89437672125413,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
curl,72.42959893555515,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
autocomplete,71.33076233086531,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
create-react-app,69.62854591639906,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
awesome-python,69.52798845461487,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
slate,69.24005911715389,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
vue-next,68.88541665274741,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
hexo,67.85367214614605,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
sharp,67.37803397688931,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
react-hook-form,67.00212517368414,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
pandas,65.81141437600625,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
meteor,65.38685408201421,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
CppCoreGuidelines,63.773963019740826,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
Sentinel,63.404942152697295,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
jest,62.02102845136028,仓库活跃度处于中等水平，具备较稳定的维护与社区互动，有持续但不密集的开发活动。
webtorrent,57.9544415903346,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
requests,57.44088590058124,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
preact,56.43603708205936,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
tornado,54.91723762969978,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
react-naive,54.48017484319225,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
scrcpy,54.154989272337396,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
alacritty,52.80843060500171,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
examples,52.77042974698226,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
firecracker,52.60341115408036,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
vue,52.36547318703985,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
jekyll,49.4511176854582,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
lazydocker,49.14156547423495,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
joplin,44.89655245142247,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
marktext,44.344708301048996,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
developer-roadmap,42.767169160744075,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
RxJava,42.38461895839579,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
architecture-samples,41.42325722333195,活跃度约处于历史最佳表现的中间水平，存在一定开发或互动行为，但整体活跃程度有限。
tldr,39.75347547919231,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
shellcheck,36.710121662141646,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
uni-app,35.28686620654484,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
foundation-sites,35.13380774690467,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
Kingfisher,34.663708367782355,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
gold-miner,33.092627268400605,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
carbon,32.35952419411405,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
thefuck,31.30162283886921,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
standard,31.111401836070737,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
Sortable,30.301157260380503,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
learnGitBranching,29.015999386374503,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
koa,28.750141274589573,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
realworld,27.991569370512263,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
Python,27.39677191406932,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
RedisDesktopManager,27.29206101247607,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
zx,26.45661536830482,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
LeetCode-Go,25.405223149625613,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
CPlusPlusThings,23.35977734964393,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,20.849352520932673,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
javascript-testing-best-practices,19.10751372773341,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
public-apis,19.04875364831663,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
You-Dont-Know-JS,18.61815019203715,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
ink,18.17777308991548,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
30-seconds-of-code,17.686197704958293,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
hub,15.1411944727919,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
leakcanary,14.611550831806676,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
DeepSpeech,14.192173730684367,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
interview,11.896850978473726,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
bitcoinbook,9.32312216208187,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
architecture-components-samples,8.912578779976188,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
masscan,7.705483337719754,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
gulp,7.2035816478723325,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
RxAndroid,1.4297861888739452,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
bypass-paywalls-chrome,1.257452975705564,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
mostly-adequate-guide,0.964713119607568,活跃度较低，仓库当前活跃度相较历史表现偏低，开发与社区活动不够频繁，维护状态有待提升。
